Number,Name,Elevation [Feet],Latitude,Longitude,Control P,ID[3],ID[5],ID[6],ID[10],ID[12],ICAO Identifier
0,Hostetler,760.00,40.6311111,-77.8497222,AP,HST,Hsttl,Hsttlr,Hostetler,Hostetler,0PA6
0,Plane View,1051.00,40.5563889,-77.8105556,L,PLN,PlnVw,PlanVw,Plane View,Plane View,
0,Univ Park,1239.00,40.8488889,-77.8491667,A,UNV,UnvPr,UnvPrk,Univ Park,Univ Park,UNV
0,Bellefonte,1080.00,40.8861111,-77.815,A,BEL,Bllfn,Bllfnt,Bellefonte,Bellefonte,N96
0,Carms,715.00,40.7402778,-77.2975,L,CRM,Carms,Carms,Carms,Carms,
0,Homan,1200.00,40.7197222,-77.9613889,AP,HMN,Homan,Homan,Homan,Homan,47PA
0,Bierly,960.00,40.9308333,-77.7397222,AP,BRL,Bierl,Bierly,Bierly,Bierly,01PN
0,Snook,710.00,40.7316667,-77.2691667,AP,SNK,Snook,Snook,Snook,Snook,PS06
0,Hilling,1380.00,40.5047222,-77.9380556,LP,HLL,Hllng,Hillng,Hilling,Hilling,PN64
0,Crust,920.00,40.9844444,-77.5630556,L,CRS,Crust,Crust,Crust,Crust,
0,Eagle Field,1780.00,40.8244444,-77.9925,AP,EGL,EglFl,EglFld,EagleField,Eagle Field,09PA
0,Mtn Hideaway,1585.00,40.4344444,-77.9002778,LP,MTN,MtnHd,MtnHdw,MtnHideawa,Mtn Hideaway,3PS4
0,Gilfert,630.00,40.7844444,-77.21,AP,GLF,Glfrt,Gilfrt,Gilfert,Gilfert,77PN
0,Mapleton,590.00,40.4191667,-77.9355556,L,MPL,Mpltn,Mapltn,Mapleton,Mapleton,
0,Fox,727.00,40.4861111,-77.2191667,AP,FOX,Fox,Fox,Fox,Fox,34PN
0,Millers,852.00,41.0597222,-77.4902778,L,MIL,Mllrs,Millrs,Millers,Millers,
0,Roadcap,731.00,40.7886111,-77.1055556,AP,RDC,Rodcp,Roadcp,Roadcap,Roadcap,37PA
0,Shirleysburg,564.00,40.3183333,-77.8758333,L,SHR,Shrls,Shrlsb,Shirlesbrg,Shirleysburg,
0,Poverty,846.00,41.0622222,-77.4325,L,PVR,Povrt,Povert,Poverty,Poverty,
0,Egolf,610.00,40.3344444,-77.3,AP,EGO,Egolf,Egolf,Egolf,Egolf,2PA7
0,Jansen,850.00,40.6525,-77.0544444,AP,JNS,Jansn,Jansen,Jansen,Jansen,PN71
0,Shulls,640.00,40.3180556,-77.2838889,L,SHL,Shlls,Shulls,Shulls,Shulls,
