29109,"EGBK","small_airport","Sywell Aerodrome",52.305301666300004,-0.7930560112,429,"EU","GB","GB-ENG","Northampton","no","EGBK","ORM",,"http://www.sywellaerodrome.co.uk/","http://en.wikipedia.org/wiki/Sywell_Aerodrome",
29110,"EGBL","small_airport","Long Marston Airfield",52.14030075,-1.75361001,154,"EU","GB","GB-ENG","Long Marston","no","EGBL",,,,"http://en.wikipedia.org/wiki/Long_Marston_Airfield","RAF Long Marston"
29111,"EGBM","small_airport","Tatenhill Airfield",52.814701080300004,-1.76110994816,439,"EU","GB","GB-ENG","Burton upon Trent","no","EGBM",,,"http://www.tatenhill.com/","http://en.wikipedia.org/wiki/Tatenhill_Airfield","RAF Tatenhill"
2393,"EGBN","medium_airport","Nottingham Airport",52.91999816894531,-1.0791699886322021,138,"EU","GB","GB-ENG","Nottingham","yes","EGBN","NQT",,"http://www.nottinghamairport.co.uk/","http://en.wikipedia.org/wiki/Nottingham_Airport",
2394,"EGBO","small_airport","Wolverhampton Halfpenny Green Airport",52.51750183105469,-2.2594399452209473,283,"EU","GB","GB-ENG","Wolverhampton","no","EGBO",,,,"http://en.wikipedia.org/wiki/Wolverhampton_Airport","Wolverhampton Business Airport, Bobbington Airport"
2395,"EGBP","small_airport","Cotswold Airport",51.668095,-2.05694,433,"EU","GB","GB-ENG","Kemble","no","EGBP","GBA",,"http://www.cotswoldairport.com/","https://en.wikipedia.org/wiki/Cotswold_Airport","RAF Kemble, Kemble Airfield, Kemble Airport, Cotswold Airport"
307540,"EGBR","small_airport","Breighton Airfield",53.8024,-0.915964,163,"EU","GB","GB-ENG","Breighton","no","EGBR",,,,"http://en.wikipedia.org/wiki/RAF_Breighton",
29112,"EGBS","small_airport","Shobdon Aerodrome",52.2416992188,-2.8811099529299997,318,"EU","GB","GB-ENG","Shobdon","no","EGBS",,,"http://www.aeroclub.co.uk/","http://en.wikipedia.org/wiki/Shobdon_Aerodrome","Herefordshire Aero Club"
2396,"EGBT","small_airport","Turweston Airport",52.0407981873,-1.09555995464,448,"EU","GB","GB-ENG","Turweston","no","EGBT",,,"http://www.turwestonflight.com/","http://en.wikipedia.org/wiki/Turweston_Aerodrome","RAF Turweston"
29113,"EGBV","heliport","Silverstone Heliport",52.0713996887207,-1.0166699886322021,502,"EU","GB","GB-ENG","Buckingham","no","EGBV",,,"http://www.flysilverstone.co.uk//","http://en.wikipedia.org/wiki/Silverstone_Heliport","RAF Silverstone, British Grand Prix"
2397,"EGBW","small_airport","Wellesbourne Mountford Airport",52.19219970703125,-1.6144399642944336,159,"EU","GB","GB-ENG","Stratford-on-Avon","no","EGBW",,,"http://www.wellesbourneairfield.com/","http://en.wikipedia.org/wiki/Wellesbourne_Mountford_Airfield",
314577,"EGCA","small_airport","Coal Aston Airfield",53.304722,-1.430556,750,"EU","GB","GB-ENG",,"no","EGCA",,,,"http://en.wikipedia.org/wiki/Coal_Aston_Airfield",
29114,"EGCB","small_airport","City Airport Manchester",53.471698761,-2.38971996307,73,"EU","GB","GB-ENG","Manchester / Salford","no","EGCB",,,"http://www.cityairportmanchester.com/","http://en.wikipedia.org/wiki/City_Airport_Manchester","Barton Aerodrome"
2398,"EGCC","large_airport","Manchester Airport",53.35369873046875,-2.2749500274658203,257,"EU","GB","GB-ENG","Manchester","yes","EGCC","MAN",,"http://www.manchesterairport.co.uk/","http://en.wikipedia.org/wiki/Manchester_Airport","Ringway Airport, RAF Ringway"
2399,"EGCD","closed","Manchester Woodford Airport",53.3381,-2.14889,295,"EU","GB","GB-ENG","Manchester","no","EGCD",,"XXB",,"http://en.wikipedia.org/wiki/Woodford_Aerodrome",
307763,"EGCE","closed","RAF Wrexham",53.066666666699994,-2.9502777777799998,250,"EU","GB","GB-WLS","Wrexham","no","EGCE",,,,"http://en.wikipedia.org/wiki/RAF_Wrexham","Borras Airfield"
29115,"EGCF","small_airport","Sandtoft Airfield",53.559700012200004,-0.8583329916,11,"EU","GB","GB-ENG","Belton","no","EGCF",,,"http://www.newsandtoftaviation.co.uk/","http://en.wikipedia.org/wiki/Sandtoft_Airfield",
307765,"EGCG","small_airport","Strubby Airfield",53.310826,0.172269,45,"EU","GB","GB-ENG","Strubby","no","EGCG",,,"http://www.strubbyairfield.co.uk/",,
314580,"EGCH","heliport","Holyhead Heliport",53.298848,-4.616862,39,"EU","GB","GB-WLS",,"no","EGCH",,"EGCH",,,
29116,"EGCJ","small_airport","Sherburn-In-Elmet Airfield",53.788458,-1.216877,26,"EU","GB","GB-ENG","Selby","no","EGCJ",,,"http://www.sherburn-aero-club.org.uk/","http://en.wikipedia.org/wiki/Sherburn-in-Elmet_Airfield",
2400,"EGCK","small_airport","Caernarfon Airport",53.101819,-4.337614,1,"EU","GB","GB-WLS","Caernarfon","no","EGCK",,,"http://www.caernarfonairport.com","http://en.wikipedia.org/wiki/Caernarfon_Airport",
29117,"EGCL","small_airport","Fenland Airfield",52.739200592,-0.0297219995409,8,"EU","GB","GB-ENG","Spalding","no","EGCL",,,,"http://en.wikipedia.org/wiki/Fenland_Airfield",
2401,"EGCN","large_airport","Robin Hood Doncaster Sheffield Airport",53.4805378105,-1.01065635681,55,"EU","GB","GB-ENG","Doncaster","yes","EGCN","DSA",,"http://www.robinhoodairport.com/","http://en.wikipedia.org/wiki/Robin_Hood_Airport_Doncaster_Sheffield","RAF Finningley"
29118,"EGCO","closed","Birkdale Sands Beach Runway",53.645302,-3.02861,3,"EU","GB","GB-ENG","Southport","no","EGCO",,,,,
29119,"EGCP","closed","RAF Thorne",53.6222,-0.928056,16,"EU","GB","GB-ENG","Thorne","no","EGCP",,,,,
29120,"EGCS","small_airport","Sturgate Airfield",53.381099700927734,-0.6852779984474182,58,"EU","GB","GB-ENG","Lincoln","no","EGCS",,,"http://www.lincolnaeroclub.co.uk/airfield.html","http://en.wikipedia.org/wiki/Sturgate_Airfield","RAF Sturgate"
29121,"EGCT","small_airport","Tilstock Airfield",52.93080139160156,-2.646389961242676,301,"EU","GB","GB-ENG","Whitchurch","no","EGCT",,,,"http://en.wikipedia.org/wiki/Tilstock_Airfield","RAF Whitchurch Heath, RAF Tilstock"
29122,"EGCV","small_airport","Sleap Airport",52.833900451699996,-2.77167010307,275,"EU","GB","GB-ENG","Shrewsbury","no","EGCV",,,"http://www.shropshireaeroclub.com/","http://en.wikipedia.org/wiki/Sleap_Airfield","RAF Sleap"
2402,"EGCW","small_airport","Welshpool Airport",52.62860107421875,-3.153330087661743,233,"EU","GB","GB-WLS","Welshpool","no","EGCW",,,"http://www.welshpoolairport.co.uk/","http://en.wikipedia.org/wiki/Welshpool_Airport","Mid-Wales"
299895,"EGDA","closed","RAF Brawdy",51.88375,-5.119972,,"EU","GB","GB-WLS",,"no","EGDA",,,,"http://en.wikipedia.org/wiki/RAF_Brawdy",
2403,"EGDC","medium_airport","Royal Marines Base Chivenor Airport",51.08720016479492,-4.1503400802612305,27,"EU","GB","GB-ENG","Chivenor","no","EGDC",,,,"http://en.wikipedia.org/wiki/Royal_Marines_Base_Chivenor",
29701,"EGDD","small_airport","Bicester Airfield",51.91669845581055,-1.1319400072097778,266,"EU","GB","GB-ENG","Bicester","no","EGDD",,,,"http://en.wikipedia.org/wiki/Bicester_Airfield","RAF Bicester"
29123,"EGDJ","small_airport","Upavon Aerodrome",51.2862014771,-1.7820199728,574,"EU","GB","GB-ENG","Upavon","no","EGDJ","UPV",,,"http://en.wikipedia.org/wiki/RAF_Upavon","RAF Upavon, Trenchard Lines, Salisbury Plain"
2405,"EGDL","closed","RAF Lyneham",51.5051,-1.99343,513,"EU","GB","GB-ENG","Lyneham","no","EGDL","LYE",,"http://www.raf.mod.uk/raflyneham/","http://en.wikipedia.org/wiki/RAF_Lyneham",
2406,"EGDM","medium_airport","MoD Boscombe Down Airport",51.152198791503906,-1.7474100589752197,407,"EU","GB","GB-ENG","Amesbury","no","EGDM",,,,"http://en.wikipedia.org/wiki/MoD_Boscombe_Down","RAF Boscombe Down"
29124,"EGDN","small_airport","Netheravon Airfield",51.247200012200004,-1.7542500495900002,456,"EU","GB","GB-ENG","Netheravon","no","EGDN",,,,,
2407,"EGDO","small_airport","Predannack Airport",50.00120162963867,-5.230830192565918,295,"EU","GB","GB-ENG","Predannack Wollas","no","EGDO",,,,"http://en.wikipedia.org/wiki/Predannack_Airfield",
29125,"EGDP","heliport","RNAS Portland Heliport",50.56809997558594,-2.4497199058532715,,"EU","GB","GB-ENG","Portland","no","EGDP",,,,,
2408,"EGDR","medium_airport","RNAS Culdrose",50.08610153198242,-5.255710124969482,267,"EU","GB","GB-ENG","Helston","no","EGDR",,,,"http://en.wikipedia.org/wiki/RNAS_Culdrose_(HMS_Seahawk)",
30571,"EGDT","small_airport","Wroughton Airfield",51.506099700927734,-1.8019399642944336,656,"EU","GB","GB-ENG","Wroughton","no","EGDT",,,,"http://en.wikipedia.org/wiki/RAF_Wroughton","RAF Wroughton"
307906,"EGDV","small_airport","Hullavington Airfield",51.526732,-2.141555,327,"EU","GB","GB-ENG","Hullavington","no","EGDV",,,,"http://en.wikipedia.org/wiki/RAF_Hullavington","RAF Hullavington"
