match msfs OMDU:[25.09, 55.13, 'Dubai Skydive'] with ourairports ['300977', 'AE-0003', 'small_airport', 'Skydive Dubai Airport', 25.090037, 55.132345, 0.914399970739201, '', '']
match msfs OMAU:[24.22, 52.01, 'Yasat Higher Airport'] with ourairports ['319192', 'AE-0024', 'small_airport', 'Yasat Higher Airport', 24.221075, 52.006719, 0, '', '']
match msfs OTUI:[24.59, 51.73, "Umm Sa'Id Airport"] with ourairports ['340192', 'AE-0026', 'small_airport', 'Al Qaffay Airport', 24.59017, 51.72703, 0, '', '']
match msfs OMAN:[24.19, 55.72, 'Al Ain Airport'] with ourairports ['341923', 'AE-0065', 'small_airport', 'Camp Falaj Hazzaa Airfield', 24.189055, 55.715891, 0, '', '']
match msfs OMAI:[24.18, 53.87, 'Abu Dhabi Airport'] with ourairports ['343800', 'AE-0086', 'small_airport', 'Abu Al Abyad Airfield', 24.182347, 53.867532, 6.095999804928006, '', '']
match msfs OADE:[36.65, 67.03, 'Dehdadi Airport'] with ourairports ['35353', 'AF-0002', 'small_airport', 'Dehdadi Airport', 36.646099, 67.032303, 420.0143865595396, '', '']
match msfs OAMU:[34.17, 69.04, 'Muhammad Aghah Wuluswali Airport'] with ourairports ['341243', 'AF-0006', 'small_airport', 'Mohammad Agha Wuluswali Airport', 34.169062, 69.037372, 0, '', '']
match msfs TPO:[60.2, -154.32, 'Port Alsworth'] with ourairports ['16144', 'AK51', 'small_airport', 'Wilder/Natwick LLC Airport', 60.198567, -154.322789, 87.7823971909633, 'PAKX', '05K']
match msfs UGSH:[39.45, 46.35, 'Shinuyar Airport'] with ourairports ['44847', 'AM-0002', 'small_airport', 'Goris Airport', 39.450989, 46.34724, 0, '', '']
match msfs UGMO:[40.93, 45.46, 'Berd Airport'] with ourairports ['44944', 'AM-0004', 'small_airport', 'Berd Airport', 40.925405606300004, 45.4614043236, 0, '', '']
match msfs UGBR:[39.55, 46.06, "Brrnakot' Airport"] with ourairports ['341270', 'AM-0008', 'small_airport', 'Sisian Airstrip', 39.54694, 46.05694, 0, '', '']
match msfs 69M:[35.78, -90.65, 'Nolan'] with ourairports ['336249', 'AN37', 'small_airport', 'Frog Pond Airport', 35.782262, -90.651955, 79.24799746406408, 'AN37', 'AN37']
match msfs Z00N:[-9.43, 20.31, 'Saurimo North'] with ourairports ['35325', 'AO-0001', 'small_airport', 'Catoca Airport', -9.430985, 20.311478, 1066.1903658819083, '', '']
match msfs FYNK:[-16.4, 18.98, 'Nankova Airport'] with ourairports ['43968', 'AO-0002', 'small_airport', 'Nancova Airport', -16.39637, 18.978764, 0, '', '']
match msfs FYNU:[-16.69, 19.08, 'Rito Airport'] with ourairports ['43969', 'AO-0003', 'small_airport', 'Rito Airport', -16.689392, 19.083767, 0, '', '']
match msfs FNCU:[-12.14, 18.09, 'Coemba Airport'] with ourairports ['43970', 'AO-0004', 'small_airport', 'Coemba Airport', -12.143704, 18.085363, 0, '', '']
match msfs FNCO:[-11.47, 16.71, 'Andulo Airport'] with ourairports ['43971', 'AO-0005', 'small_airport', 'Andulo Airport', -11.4723, 16.710899, 0, '', '']
match msfs FNCL:[-13.78, 14.69, 'Caluquembe'] with ourairports ['312663', 'AO-0006', 'small_airport', 'Caluquembe Airport', -13.775546, 14.694916, 0, '', '']
match msfs FNON:[-15.67, 15.81, 'Cuvelai Airport'] with ourairports ['318389', 'AO-0007', 'small_airport', 'Cuvelai Airport', -15.668575, 15.805654, 0, '', '']
match msfs FYBA:[-18.02, 21.44, 'Mucusso Airport'] with ourairports ['318403', 'AO-0011', 'small_airport', 'Mucusso Airport', -18.020826, 21.437053, 0, '', '']
match msfs FYBG:[-17.45, 22.61, 'Jamba Airport'] with ourairports ['318476', 'AO-0012', 'small_airport', 'Jamba Airport', -17.454765, 22.607245, 0, '', '']
match msfs FYRN:[-15.79, 20.37, 'Mavinga Airport'] with ourairports ['318480', 'AO-0016', 'small_airport', 'Mavinga Airport', -15.789222, 20.368971, 0, '', '']
match msfs FLKA:[-14.81, 21.38, 'Ninda Airport'] with ourairports ['318481', 'AO-0017', 'small_airport', 'Ninda Airport', -14.80893, 21.376961, 0, '', '']
match msfs FNLN:[-13.14, 20.3, 'Cassamba Airport'] with ourairports ['318485', 'AO-0020', 'small_airport', 'Cassamba Airport', -13.139351, 20.300824, 0, '', '']
match msfs FLMI:[-12.13, 23.48, 'Calunda Airport'] with ourairports ['318486', 'AO-0021', 'small_airport', 'Calunda Airport', -12.126335, 23.478615, 0, '', '']
match msfs FLMN:[-11.56, 23.55, 'Lóvua Airport'] with ourairports ['318487', 'AO-0022', 'small_airport', 'Lóvua Airport', -11.556065, 23.553667, 0, '', '']
match msfs FNLA:[-11.21, 21.65, 'Luacano Airport'] with ourairports ['318488', 'AO-0023', 'small_airport', 'Luacano Airport', -11.209962, 21.648705, 0, '', '']
match msfs FNLM:[-11.56, 20.79, 'Lumeje Airport'] with ourairports ['318489', 'AO-0024', 'small_airport', 'Lumeje Airport', -11.564598, 20.785903, 0, '', '']
match msfs FNLC:[-10.7, 22.16, 'Chipato Airport'] with ourairports ['318490', 'AO-0025', 'small_airport', 'Chipato Airport', -10.701382, 22.160291, 0, '', '']
match msfs FNCP:[-12.02, 17.45, 'Camacupa Airport'] with ourairports ['318522', 'AO-0027', 'small_airport', 'Camacupa Airport', -12.021878, 17.453693, 0, '', '']
match msfs FNCD:[-11.62, 18.47, 'Luando Airport'] with ourairports ['318523', 'AO-0028', 'small_airport', 'Luando Airport', -11.62444, 18.46969, 0, '', '']
match msfs FNCE:[-10.9, 18.06, 'Quirima Airport'] with ourairports ['318524', 'AO-0029', 'small_airport', 'Quirima Airport', -10.902645, 18.060368, 0, '', '']
match msfs FNCJ:[-11.04, 20.21, 'Dala Airport'] with ourairports ['318525', 'AO-0030', 'small_airport', 'Dala Airport', -11.040653, 20.208268, 0, '', '']
match msfs FNMN:[-14.61, 18.49, 'Longa Airport'] with ourairports ['318527', 'AO-0032', 'small_airport', 'Longa Airport', -14.610741, 18.487945, 0, '', '']
match msfs FNMG:[-14.65, 16.89, 'Cuchi Airport'] with ourairports ['318528', 'AO-0033', 'small_airport', 'Cuchi Airport', -14.64987, 16.885391, 0, '', '']
match msfs FNMU:[-15.7, 17.45, 'Miguel Airport'] with ourairports ['318530', 'AO-0035', 'small_airport', 'Miguel Airport', -15.704318, 17.452439, 0, '', '']
match msfs FYRD:[-17.88, 19.78, 'Calai Airport'] with ourairports ['318533', 'AO-0037', 'small_airport', 'Calai Airport', -17.878868, 19.782762, 0, '', '']
match msfs FYOB:[-17.32, 13.92, 'Chitado Airport'] with ourairports ['318536', 'AO-0038', 'small_airport', 'Chitado Airport', -17.320733, 13.923845, 0, '', '']
match msfs FNND:[-9.68, 14.46, 'Alto Dondo Airport'] with ourairports ['318863', 'AO-0039', 'small_airport', 'Alto Dondo Airport', -9.675516, 14.464999, 0, '', '']
match msfs FNML:[-10.52, 16.0, 'Mussende Airport'] with ourairports ['318864', 'AO-0040', 'small_airport', 'Mussende Airport', -10.520306, 15.99677, 0, '', '']
match msfs FNSR:[-9.42, 18.43, 'Capenda Camulemba Airport'] with ourairports ['318865', 'AO-0041', 'small_airport', 'Capenda Camulemba Airport', -9.415833, 18.434794, 0, '', '']
match msfs FNCG:[-10.46, 18.54, 'Xassengue Airport'] with ourairports ['318866', 'AO-0042', 'small_airport', 'Xassengue Airport', -10.461305, 18.535527, 0, '', '']
match msfs FNCK:[-13.46, 15.83, 'Cuima Airport'] with ourairports ['318868', 'AO-0044', 'small_airport', 'Cuima Airport', -13.458467, 15.833762, 0, '', '']
match msfs FNMB:[-15.33, 16.85, 'Cubati Airport'] with ourairports ['319259', 'AO-0045', 'small_airport', 'Cubati Airport', -15.333917, 16.851872, 0, '', '']
match msfs FNMC:[-14.46, 16.3, 'Capelongo Airport'] with ourairports ['319260', 'AO-0046', 'small_airport', 'Capelongo Airport', -14.457297, 16.296202, 0, '', '']
match msfs FNCQ:[-13.51, 16.75, 'Chitembo Airport'] with ourairports ['319262', 'AO-0047', 'small_airport', 'Chitembo Airport', -13.509385, 16.74928, 1643.7863473988368, '', '']
match msfs FNMD:[-15.71, 18.65, 'Cuito Cuanavale South Airport'] with ourairports ['319263', 'AO-0048', 'small_airport', 'Cuito Cuanavale South Airport', -15.711983, 18.651003, 0, '', '']
match msfs FLKC:[-14.2, 21.91, 'Mussuma Airport'] with ourairports ['324541', 'AO-0049', 'small_airport', 'Mussuma Airport', -14.204202, 21.909971, 1059.7895660867339, '', '']
match msfs FNMF:[-13.9, 17.3, 'Mumbué Airport'] with ourairports ['325464', 'AO-0050', 'small_airport', 'Mumbué Airport', -13.900039, 17.300036, 1522.4759512807696, '', '']
match msfs FNHM:[-13.11, 16.42, 'Chinhama Airport'] with ourairports ['325466', 'AO-0052', 'small_airport', 'Chinhama Airport', -13.105437, 16.42432, 1696.2119457212177, '', '']
